,station_id,elevation,lat,lon,original_id
290,Gräfenberg-Kasberg_1,505.5,49.664,11.2239,1721
291,Grainet-Rehberg_1,628.0,48.7894,13.629,1735
292,Grambek_2,27.0,53.5731,10.6797,1736
293,Graustein_0,138.5,51.5718,14.4763,1744
294,Grebenstein_3,190.0,51.4511,9.4138,1750
295,Greifswald_2,2.0,54.0967,13.4056,1757
296,Greifswalder Oie_4,12.0,54.2437,13.9102,1759
297,Münster/Osnabrück_4,47.8,52.1344,7.6969,1766
298,Grevesmühlen_2,23.0,53.8312,11.1713,1769
299,Tangerhütte-Grieben_3,38.0,52.4233,11.966,1770
300,Groß Berßen_2,27.0,52.7553,7.4815,1792
301,Hecklingen-Groß Börnecke_2,104.0,51.8806,11.465,1793
302,Groß Lüsewitz_3,34.0,54.0714,12.3238,1803
303,Schorfheide-Groß Schönebeck_2,56.0,52.9094,13.5371,1810
304,Groß Wittensee_2,15.0,54.4032,9.7654,1813
305,Groß-Gerau-Wallerstädten_6,87.0,49.9052,8.4459,1814
306,Großenbrode_2,2.5,54.3726,11.0828,1827
307,Großer Arber_3,1436.0,49.1129,13.1338,1832
308,Feldkirchen-Westerham-Lenzmühle_5,517.0,47.9411,11.9004,1844
309,Pilsting-Bäckermühle_6,344.0,48.6773,12.6207,1846
310,Weißenfels-Wengelsdorf_6,92.0,51.2743,12.0517,1847
311,Markranstädt-Großlehna_2,118.0,51.309,12.1718,1848
312,Großostheim_3,110.0,49.9229,9.0904,1851
313,Gründau-Breitenborn_3,258.0,50.2667,9.1854,1863
314,Grünow_3,55.9,53.3154,13.9339,1869
315,Grünstadt_5,160.0,49.5665,8.178,1870
316,Günzburg_1,443.5,48.4878,10.2608,1886
317,Parum_3,10.0,53.8119,12.114,1888
318,Vilsheim-Münchsdorf_3,450.0,48.4522,12.1549,1900
319,Haigerloch-Weildorf_2,524.0,48.3705,8.7666,1937
320,Haimhausen-Ottershausen_2,464.0,48.3028,11.5318,1938
321,Halblech-Trauchgau_2,780.0,47.6463,10.8073,1950
322,Olsdorf_2,328.0,49.9445,6.3821,1964
323,Hamburg-Fuhlsbüttel_4,10.65,53.6332,9.9881,1975
324,Hamburg-Neuwiedenthal_3,3.0,53.4777,9.8957,1981
325,Hammelburg_5,220.0,50.1219,9.9079,1997
326,Hannover-Herrenhausen_2,50.0,52.3965,9.6629,2011
327,Hannover-Kirchrode_2,57.0,52.3671,9.819,2012
328,Hannover_6,55.24,52.4644,9.6779,2014
329,Harburg_2,501.26,48.7918,10.7062,2023
330,Harsewinkel_5,63.0,51.9753,8.2094,2027
331,"Harzburg, Bad_4",201.0,51.9002,10.5699,2039
332,Harzgerode_3,404.0,51.652,11.1366,2044
333,Haslach im Kinzigtal_1,218.0,48.2766,8.0841,2050
334,Hasloch/Main_3,130.0,49.7845,9.4722,2051
335,Haundorf-Obererlbach_3,449.0,49.184,10.8243,2064
336,Haunetal-Wehrda_1,257.0,50.7384,9.6607,2066
337,Hechingen_4,517.5,48.3752,8.98,2074
338,Heinrichsthal_2,450.0,50.0664,9.3458,2109
339,Heinsberg-Schleiden_5,57.0,51.0411,6.1042,2110
340,Helgoland_4,4.36,54.175,7.892,2115
341,Helmbrechts_3,650.0,50.238,11.7033,2119
342,Herleshausen-Archfeld_2,380.0,51.0425,10.1468,2152
343,Herrenberg_2,434.0,48.5915,8.8541,2159
344,Weißenseifen_1,526.0,50.1499,6.5527,2170
345,"Hersfeld, Bad_6",272.2,50.852,9.7377,2171
346,Herzberg_2,238.0,51.6255,10.3695,2174
347,Herzberg-Lonau_1,340.0,51.689,10.357,2175
348,Hessisch Lichtenau-Fürstenhagen_3,340.0,51.2099,9.6914,2184
349,Hiddensee-Vitte_5,1.0,54.575,13.1044,2201
350,Hilgenroth_1,295.0,50.737,7.6525,2211
351,Lissendorf_4,407.0,50.3105,6.6236,2213
352,Unterjoch_1,1015.0,47.5561,10.4274,2222
353,Hirschberg_3,446.0,50.404,11.8193,2233
354,Hirschthal_1,205.0,49.049,7.756,2236
355,Bertsdorf-Hörnitz_2,270.0,50.899,14.7457,2252
356,Hörstel-Riesenbeck_0,46.0,52.2396,7.6449,2254
